ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
FB,2015-09-08,89.69,90.24,88.83,89.53,27012543.0,0.0,1.0,89.69,90.24,88.83,89.53,27012543.0
FB,2015-09-09,90.78,91.98,90.17,90.44,32551123.0,0.0,1.0,90.78,91.98,90.17,90.44,32551123.0
FB,2015-09-10,90.07,92.06,89.63,91.98,26437398.0,0.0,1.0,90.07,92.06,89.63,91.98,26437398.0
FB,2015-09-11,91.68,92.08,91.13,92.05,21185049.0,0.0,1.0,91.68,92.08,91.13,92.05,21185049.0
FB,2015-09-14,92.31,92.62,91.6,92.31,20127871.0,0.0,1.0,92.31,92.62,91.6,92.31,20127871.0
FB,2015-09-15,92.37,93.25,91.79,92.9,18859351.0,0.0,1.0,92.37,93.25,91.79,92.9,18859351.0
FB,2015-09-16,92.9,93.6,92.63,93.45,16321193.0,0.0,1.0,92.9,93.6,92.63,93.45,16321193.0
FB,2015-09-17,93.37,95.51,92.9,94.34,27841803.0,0.0,1.0,93.37,95.51,92.9,94.34,27841803.0
FB,2015-09-18,93.2,95.19,93.05,94.4,62299984.0,0.0,1.0,93.2,95.19,93.05,94.4,62299984.0
FB,2015-09-21,94.62,96.49,94.52,95.55,28789973.0,0.0,1.0,94.62,96.49,94.52,95.55,28789973.0
FB,2015-09-22,93.77,94.68,91.92,92.96,36888893.0,0.0,1.0,93.77,94.68,91.92,92.96,36888893.0
FB,2015-09-23,93.4,94.32,92.8,93.97,21701427.0,0.0,1.0,93.4,94.32,92.8,93.97,21701427.0
FB,2015-09-24,93.06,94.765,92.24,94.41,29105964.0,0.0,1.0,93.06,94.765,92.24,94.41,29105964.0
FB,2015-09-25,95.79,95.85,92.06,92.77,28961622.0,0.0,1.0,95.79,95.85,92.06,92.77,28961622.0
FB,2015-09-28,92.08,92.29,88.18,89.21,40914897.0,0.0,1.0,92.08,92.29,88.18,89.21,40914897.0
FB,2015-09-29,89.1,90.06,85.72,86.67,42281838.0,0.0,1.0,89.1,90.06,85.72,86.67,42281838.0
FB,2015-09-30,88.44,90.02,88.01,89.73,35159225.0,0.0,1.0,88.44,90.02,88.01,89.73,35159225.0
FB,2015-10-01,90.05,90.95,88.36,90.95,29283652.0,0.0,1.0,90.05,90.95,88.36,90.95,29283652.0
FB,2015-10-02,88.9,92.2,88.37,92.07,37881652.0,0.0,1.0,88.9,92.2,88.37,92.07,37881652.0
FB,2015-10-05,92.94,94.27,92.66,94.01,27292517.0,0.0,1.0,92.94,94.27,92.66,94.01,27292517.0
FB,2015-10-06,94.08,94.17,92.34,92.8,22488275.0,0.0,1.0,94.08,94.17,92.34,92.8,22488275.0
FB,2015-10-07,93.11,93.66,91.37,92.4,24129277.0,0.0,1.0,93.11,93.66,91.37,92.4,24129277.0
FB,2015-10-08,91.89,93.22,90.47,92.47,27290523.0,0.0,1.0,91.89,93.22,90.47,92.47,27290523.0
FB,2015-10-09,92.9,93.74,92.239,93.24,20012911.0,0.0,1.0,92.9,93.74,92.239,93.24,20012911.0
FB,2015-10-12,93.32,94.6,92.67,94.26,18449562.0,0.0,1.0,93.32,94.6,92.67,94.26,18449562.0
